name, starred_at, full_name, owner_name, owner_avatar_url, description, homepage, stargazers_count, forks_count, open_issues_count, license_name, topics, created_at, updated_at, pushed_at, archived
"tsx","2022-08-13T10:55:30Z","esbuild-kit/tsx","esbuild-kit","https://avatars.githubusercontent.com/u/98902370?v=4","⚡️ TypeScript Execute (tsx): Node.js enhanced with esbuild to run TypeScript & ESM","",2146,20,17,"MIT License","cli, esbuild, esm, loader, node, runtime, typescript, watch","2022-03-15T20:15:42Z","2022-09-03T14:36:02Z","2022-08-29T14:00:06Z",false
"fauxpilot","2022-08-11T14:46:39Z","moyix/fauxpilot","moyix","https://avatars.githubusercontent.com/u/34380?v=4","FauxPilot - an open-source GitHub Copilot server",,6035,230,15,"MIT License","","2022-08-03T02:14:22Z","2022-09-03T15:51:06Z","2022-09-02T22:39:37Z",false
"surrealdb","2022-08-10T21:29:40Z","surrealdb/surrealdb","surrealdb","https://avatars.githubusercontent.com/u/10982346?v=4","A scalable, distributed, collaborative, document-graph database, for the realtime web","https://surrealdb.com",3774,85,18,"Other","backend-as-a-service, cloud-database, collaborative, database, database-as-a-service, developer-tools, devtools, distributed, distributed-database, document-database, graph-database, hacktoberfest, iot-database, nosql, realtime-database, serverless, sql, surreal, surrealdb, web","2021-12-09T15:03:29Z","2022-09-03T14:55:17Z","2022-09-02T15:19:01Z",false
"s3-ocr","2022-08-10T21:24:44Z","simonw/s3-ocr","simonw","https://avatars.githubusercontent.com/u/9599?v=4","Tools for running OCR against files stored in S3","",83,3,8,"Apache License 2.0","ocr, s3, textract","2022-06-28T21:33:09Z","2022-09-03T07:37:58Z","2022-08-10T04:43:17Z",false
"solid-start","2022-08-10T21:07:42Z","solidjs/solid-start","solidjs","https://avatars.githubusercontent.com/u/79226042?v=4","SolidStart, the Solid app framework","",1129,87,34,"MIT License","file-system-routing, meta-framework, sdk, solid-js, spa, ssr","2021-03-30T03:42:11Z","2022-09-03T14:13:15Z","2022-09-02T21:05:04Z",false
"AFFiNE","2022-08-07T22:05:54Z","toeverything/AFFiNE","toeverything","https://avatars.githubusercontent.com/u/78728988?v=4","There can be more than Notion and Miro. AFFiNE is a next-gen knowledge base that brings planning, sorting and creating all together. Privacy first, open-source, customizable and ready to use. ","https://affine.pro",9062,351,44,"MIT License","affine, block-editor, collaborative, editor, knowledge-base, miro, miro-alternative, notion, notion-alternative, privacy-first, rust, semantic, yjs","2022-07-31T18:45:21Z","2022-09-03T15:39:54Z","2022-09-03T09:27:47Z",false
"connect-web","2022-08-06T23:07:42Z","bufbuild/connect-web","bufbuild","https://avatars.githubusercontent.com/u/54191850?v=4","Simple, reliable, interoperable. A better gRPC-Web.","https://connect.build",468,12,5,"Apache License 2.0","connect, grpc, grpc-web, protobuf, rpc, typescript","2022-02-16T16:05:30Z","2022-09-03T11:33:58Z","2022-09-02T20:58:23Z",false
"canonicalize","2022-08-06T21:52:03Z","erdtman/canonicalize","erdtman","https://avatars.githubusercontent.com/u/4630676?v=4","JSON canonicalize function",,31,4,2,"Apache License 2.0","","2018-05-03T20:07:10Z","2022-08-06T21:52:03Z","2021-12-29T19:57:15Z",false
"vanilla-fetch","2022-08-06T21:51:13Z","tantaman/vanilla-fetch","tantaman","https://avatars.githubusercontent.com/u/1009003?v=4","relay with the relay. apollo without the apollo. suspense without the... suspense. fetch then render via async generators.",,4,0,0,,"","2022-08-06T16:01:35Z","2022-08-17T07:28:09Z","2022-08-08T13:10:11Z",false
"estrella","2022-08-06T21:45:38Z","rsms/estrella","rsms","https://avatars.githubusercontent.com/u/47046?v=4","Lightweight and versatile build tool based on the esbuild compiler","",1056,31,16,"ISC License","compiler, esbuild, javascript, typescript","2020-05-21T23:20:55Z","2022-08-30T05:59:13Z","2022-08-24T14:54:38Z",false
